SP-500 2x, 1927-2025
Date,Close
1927-12-30,17.660000
1928-01-03,17.860001
1928-01-04,17.779548
1928-01-05,17.438406
1928-01-06,17.657008
1928-01-09,17.337062
1928-01-10,17.079485
1928-01-11,17.040153
1928-01-12,17.275865
1928-01-13,17.493421
1928-01-16,16.916280
1928-01-17,16.935844
1928-01-18,16.857530
1928-01-19,17.091932
1928-01-20,17.288617
1928-01-23,17.605113
1928-01-24,17.744836
1928-01-25,17.364091
1928-01-26,17.582131
1928-01-27,17.701808
1928-01-30,17.301539
1928-01-31,17.459815
1928-02-01,17.380319
1928-02-02,17.578608
1928-02-03,17.119950
1928-02-06,17.218343
1928-02-07,17.198608
1928-02-08,17.297222
1928-02-09,17.415898
1928-02-10,17.396054
1928-02-14,17.197695
1928-02-15,17.118805
1928-02-16,17.020422
1928-02-17,16.412201
1928-02-20,16.238832
1928-02-21,16.545406
1928-02-23,16.584083
1928-02-24,16.680898
1928-02-27,16.544966
1928-02-28,16.641662
1928-02-29,16.835622
1928-03-01,16.913653
1928-03-02,16.913653
1928-03-05,17.441594
1928-03-06,17.640133
1928-03-07,17.460437
1928-03-08,17.579620
1928-03-09,18.157637
1928-03-12,18.299414
1928-03-13,18.136752
1928-03-14,18.156995
1928-03-15,18.440538
1928-03-16,18.828332
1928-03-19,19.034557
1928-03-20,19.241902
1928-03-21,19.637999
1928-03-22,19.532703
1928-03-23,19.910756
1928-03-26,20.483266
1928-03-27,20.246717
1928-03-28,20.139815
1928-03-29,20.267758
1928-03-30,20.973653
1928-04-02,20.168646
1928-04-03,20.403290
1928-04-04,20.338925
1928-04-05,20.853021
1928-04-09,20.939775
1928-04-10,20.570313
1928-04-11,21.302660
1928-04-12,21.236909
1928-04-13,21.937147
1928-04-16,21.825962
1928-04-17,21.471068
1928-04-18,21.471068
1928-04-19,21.713055
1928-04-20,21.071510
1928-04-23,20.657487
1928-04-24,20.873232
1928-04-25,21.046724
1928-04-26,21.351590
1928-04-27,21.812181
1928-04-30,21.967348
1928-05-01,22.034086
1928-05-02,22.145480
1928-05-03,22.368834
1928-05-04,23.064702
1928-05-07,23.452153
1928-05-08,23.130420
1928-05-09,23.061951
1928-05-10,22.993584
1928-05-11,23.334908
1928-05-14,23.518286
1928-05-15,23.403223
1928-05-16,22.622733
1928-05-17,22.780701
1928-05-18,22.327802
1928-05-21,21.677694
1928-05-22,21.081367
1928-05-23,21.930718
1928-05-24,22.197220
1928-05-25,22.264244
1928-05-28,21.525833
1928-05-29,22.075803
1928-05-31,22.476777
1928-06-01,22.634113
1928-06-04,22.025123
1928-06-05,22.136363
1928-06-06,21.712593
1928-06-07,21.602154
1928-06-08,21.073392
1928-06-11,19.572034
1928-06-12,18.859562
1928-06-13,19.990722
1928-06-14,20.329368
1928-06-15,19.667731
1928-06-18,18.954067
1928-06-19,18.830455
1928-06-20,19.302755
1928-06-21,19.281966
1928-06-22,19.240413
1928-06-25,19.095121
1928-06-26,19.529338
1928-06-27,19.905707
1928-06-28,20.348992
1928-06-29,20.498381
1928-07-02,20.155670
1928-07-03,20.814078
1928-07-05,21.224098
1928-07-06,21.027982
