Nasdaq-composite 3x, 1971-2025
Date, Close-price
1971-02-05,100.000000
1971-02-08,102.520000
1971-02-09,102.276002
1971-02-10,102.062842
1971-02-11,104.373928
1971-02-12,106.225807
1971-02-16,106.662993
1971-02-17,105.253902
1971-02-18,104.260745
1971-02-19,102.040244
1971-02-22,98.939518
1971-02-23,99.058626
1971-02-24,101.800321
1971-02-25,103.590728
1971-02-26,103.928424
1971-03-01,105.282139
1971-03-02,105.468333
1971-03-03,106.182916
1971-03-04,108.398745
1971-03-05,110.708467
1971-03-08,113.018681
1971-03-09,113.604214
1971-03-10,112.722886
1971-03-11,113.112556
1971-03-12,113.893690
1971-03-15,115.953586
1971-03-16,117.376397
1971-03-17,117.176248
1971-03-18,118.442418
1971-03-19,118.073264
1971-03-22,116.733679
1971-03-23,115.869559
1971-03-24,114.513651
1971-03-25,114.185531
1971-03-26,115.724744
1971-03-29,116.154292
1971-03-30,116.949264
1971-03-31,118.712820
1971-04-01,119.956297
1971-04-02,121.716047
1971-04-05,122.775339
1971-04-06,124.115706
1971-04-07,125.846587
1971-04-08,126.964602
1971-04-12,128.686672
1971-04-13,128.615751
1971-04-14,129.431046
1971-04-15,131.602469
1971-04-16,132.574281
1971-04-19,133.297676
1971-04-20,131.010706
1971-04-21,130.974823
1971-04-22,132.661040
1971-04-23,135.193890
1971-04-26,136.806103
1971-04-27,138.874260
1971-04-28,141.410776
1971-04-29,141.750555
1971-04-30,141.145537
1971-05-03,137.563482
1971-05-04,139.120105
1971-05-05,138.784037
1971-05-06,136.472626
1971-05-07,134.998043
1971-05-10,133.131542
1971-05-11,133.784207
1971-05-12,133.929717
1971-05-13,134.584986
1971-05-14,135.278912
1971-05-17,129.451926
1971-05-18,126.783425
1971-05-19,126.537812
1971-05-20,127.904462
1971-05-21,128.363280
1971-05-24,126.842025
1971-05-25,123.613064
1971-05-26,123.716554
1971-05-27,123.958165
1971-05-28,126.204619
1971-06-01,128.373123
1971-06-02,130.813946
1971-06-03,133.178053
1971-06-04,134.773000
1971-06-07,135.138371
1971-06-08,132.429747
1971-06-09,131.599202
1971-06-10,132.570104
1971-06-11,133.076005
1971-06-14,130.793667
1971-06-15,130.041636
1971-06-16,130.327024
1971-06-17,130.327024
1971-06-18,125.754146
1971-06-21,119.964060
1971-06-22,116.550998
1971-06-23,118.208279
1971-06-24,119.479695
1971-06-25,120.119946
1971-06-28,119.747953
1971-06-29,122.346522
1971-06-30,124.332000
1971-07-01,126.650250
1971-07-02,127.701096
1971-07-06,129.321281
1971-07-07,132.091690
1971-07-08,133.568581
1971-07-09,135.346753
1971-07-12,136.554880
1971-07-13,134.787179
1971-07-14,133.253847
1971-07-15,134.630586
1971-07-16,131.931165
1971-07-19,129.735911
1971-07-20,131.230537
1971-07-21,131.051244
1971-07-22,130.334726
1971-07-23,130.655981
1971-07-26,129.654878
1971-07-27,126.880370
1971-07-28,122.953705
1971-07-29,117.323810
1971-07-30,115.527528
1971-08-02,116.581070
1971-08-03,112.672585
1971-08-04,108.949566
1971-08-05,108.474771
1971-08-06,110.589351
1971-08-09,108.671247
1971-08-10,108.228894
1971-08-11,111.506011
1971-08-12,115.137885
1971-08-13,115.892995
1971-08-16,123.872729
1971-08-17,127.559280
1971-08-18,125.662227
1971-08-19,124.340565
1971-08-20,123.926135
1971-08-23,125.201119
1971-08-24,126.380734
1971-08-25,127.253529
1971-08-26,127.674395
1971-08-27,128.834326
1971-08-30,126.747988
1971-08-31,125.733631
1971-09-01,126.533817
1971-09-02,127.616895
1971-09-03,131.200850
1971-09-07,133.169220
1971-09-08,133.349944
1971-09-09,133.241412
1971-09-10,132.771361
1971-09-13,132.049908
1971-09-14,130.432530
1971-09-15,130.503824
1971-09-16,130.468164
1971-09-17,131.609077
1971-09-20,131.214609
1971-09-21,130.606195
1971-09-22,127.644900
1971-09-23,126.977338
1971-09-24,127.257435
1971-09-27,124.802984
1971-09-28,125.495180
1971-09-29,126.259406
1971-09-30,127.759173
1971-10-01,129.692609
1971-10-04,131.041848
1971-10-05,131.149103
1971-10-06,133.617315
1971-10-07,134.703831
1971-10-08,133.829919
1971-10-11,133.721154
1971-10-12,134.445864
1971-10-13,133.645808
1971-10-14,130.675632
1971-10-15,129.712246
