Nasdaq-composite 2x, 1971-2025
Date, Close-price
1971-02-05,100.000000
1971-02-08,101.680000
1971-02-09,101.518667
1971-02-10,101.377613
1971-02-11,102.907993
1971-02-12,104.125239
1971-02-16,104.410933
1971-02-17,103.491373
1971-02-18,102.840356
1971-02-19,101.380189
1971-02-22,99.326410
1971-02-23,99.406126
1971-02-24,101.240334
1971-02-25,102.427373
1971-02-26,102.649976
1971-03-01,103.541351
1971-03-02,103.663428
1971-03-03,104.131664
1971-03-04,105.580346
1971-03-05,107.080125
1971-03-08,108.569791
1971-03-09,108.944781
1971-03-10,108.381327
1971-03-11,108.631102
1971-03-12,109.131226
1971-03-15,110.447066
1971-03-16,111.350562
1971-03-17,111.223979
1971-03-18,112.025213
1971-03-19,111.792445
1971-03-22,110.946893
1971-03-23,110.399371
1971-03-24,109.538107
1971-03-25,109.328865
1971-03-26,110.311362
1971-03-29,110.584332
1971-03-30,111.088899
1971-03-31,112.205688
1971-04-01,112.989233
1971-04-02,114.094262
1971-04-05,114.756235
1971-04-06,115.591449
1971-04-07,116.666118
1971-04-08,117.357089
1971-04-12,118.418262
1971-04-13,118.374754
1971-04-14,118.875006
1971-04-15,120.204557
1971-04-16,120.796320
1971-04-19,121.235739
1971-04-20,119.849056
1971-04-21,119.827172
1971-04-22,120.855637
1971-04-23,122.393940
1971-04-26,123.366988
1971-04-27,124.610316
1971-04-28,126.127641
1971-04-29,126.329678
1971-04-30,125.970213
1971-05-03,123.838927
1971-05-04,124.773141
1971-05-05,124.572200
1971-05-06,123.189056
1971-05-07,122.301686
1971-05-10,121.174380
1971-05-11,121.570411
1971-05-12,121.658561
1971-05-13,122.055381
1971-05-14,122.474930
1971-05-17,118.957950
1971-05-18,117.323164
1971-05-19,117.171640
1971-05-20,118.015301
1971-05-21,118.297531
1971-05-24,117.362888
1971-05-25,115.371118
1971-05-26,115.435511
1971-05-27,115.585804
1971-05-28,116.982286
1971-06-01,118.322314
1971-06-02,119.822129
1971-06-03,121.265769
1971-06-04,122.233959
1971-06-07,122.454877
1971-06-08,120.818607
1971-06-09,120.313458
1971-06-10,120.905217
1971-06-11,121.212808
1971-06-14,119.826890
1971-06-15,119.367574
1971-06-16,119.542216
1971-06-17,119.542216
1971-06-18,116.745906
1971-06-21,113.162360
1971-06-22,111.015994
1971-06-23,112.068378
1971-06-24,112.871963
1971-06-25,113.275191
1971-06-28,113.041327
1971-06-29,114.676683
1971-06-30,115.917356
1971-07-01,117.358258
1971-07-02,118.007423
1971-07-06,119.005555
1971-07-07,120.705168
1971-07-08,121.604888
1971-07-09,122.684156
1971-07-12,123.414221
1971-07-13,122.349158
1971-07-14,121.421266
1971-07-15,122.257592
1971-07-16,120.623368
1971-07-19,119.285302
1971-07-20,120.201455
1971-07-21,120.091972
1971-07-22,119.654239
1971-07-23,119.850859
1971-07-26,119.238650
1971-07-27,117.537578
1971-07-28,115.112560
1971-07-29,111.598654
1971-07-30,110.459569
1971-08-02,111.131120
1971-08-03,108.647273
1971-08-04,106.253932
1971-08-05,105.945233
1971-08-06,107.322080
1971-08-09,106.081123
1971-08-10,105.793250
1971-08-11,107.928828
1971-08-12,110.272402
1971-08-13,110.754536
1971-08-16,115.838488
1971-08-17,118.136786
1971-08-18,116.965504
1971-08-19,116.145375
1971-08-20,115.887298
1971-08-23,116.682150
1971-08-24,117.415051
1971-08-25,117.955636
1971-08-26,118.215713
1971-08-27,118.931711
1971-08-30,117.647728
1971-08-31,117.020042
1971-09-01,117.516530
1971-09-02,118.187126
1971-09-03,120.399881
1971-09-07,121.604098
1971-09-08,121.714117
1971-09-09,121.648076
1971-09-10,121.361975
1971-09-13,120.922337
1971-09-14,119.934947
1971-09-15,119.978651
1971-09-16,119.956795
1971-09-17,120.656125
1971-09-20,120.415031
1971-09-21,120.042806
1971-09-22,118.228281
1971-09-23,117.816072
1971-09-24,117.989331
1971-09-27,116.472201
1971-09-28,116.902862
1971-09-29,117.377463
1971-09-30,118.306971
1971-10-01,119.500566
1971-10-04,120.329371
1971-10-05,120.395029
1971-10-06,121.905577
1971-10-07,122.566431
1971-10-08,122.036319
1971-10-11,121.970198
1971-10-12,122.410882
1971-10-13,121.925256
1971-10-14,120.118792
1971-10-15,119.528421
