Nasdaq-100 3x, 1986-2025
Date, close-price
1986-01-02,131.250000
1986-01-03,129.150000
1986-01-06,128.556434
1986-01-07,135.775714
1986-01-08,130.775765
1986-01-09,123.716506
1986-01-10,125.906518
1986-01-13,124.536279
1986-01-14,124.796755
1986-01-15,131.607539
1986-01-16,136.200245
1986-01-17,135.309713
1986-01-20,131.732571
1986-01-21,130.201030
1986-01-22,125.820936
1986-01-23,124.801711
1986-01-24,127.495273
1986-01-27,129.228503
1986-01-28,132.785523
1986-01-29,136.014870
1986-01-30,133.346910
1986-01-31,135.586339
1986-02-03,139.594872
1986-02-04,140.717954
1986-02-05,144.230675
1986-02-06,147.163748
1986-02-07,149.683970
1986-02-10,152.004061
1986-02-11,152.433233
1986-02-12,153.756247
1986-02-13,155.419556
1986-02-14,158.770078
1986-02-18,160.741111
1986-02-19,156.972135
1986-02-20,157.983843
1986-02-21,162.081895
1986-02-24,158.809253
1986-02-25,156.090692
1986-02-26,154.343910
1986-02-27,159.845079
1986-02-28,159.503845
1986-03-03,157.152688
1986-03-04,159.851747
1986-03-05,158.862199
1986-03-06,160.731166
1986-03-07,159.806506
1986-03-10,166.322490
1986-03-11,176.481193
1986-03-12,181.143968
1986-03-13,182.589463
1986-03-14,182.552203
1986-03-17,180.205103
1986-03-18,184.858893
1986-03-19,184.257848
1986-03-20,185.494813
1986-03-21,186.247837
1986-03-24,182.812319
1986-03-25,184.303752
1986-03-26,183.404039
1986-03-27,187.626379
1986-03-31,189.447258
1986-04-01,187.881894
1986-04-02,189.666424
1986-04-03,188.864048
1986-04-04,182.463168
1986-04-07,178.851879
1986-04-08,189.394907
1986-04-09,189.890872
1986-04-10,200.209643
1986-04-11,203.771623
1986-04-14,208.857237
1986-04-15,212.887030
1986-04-16,229.294667
1986-04-17,229.987313
1986-04-18,223.914468
1986-04-21,227.621285
1986-04-22,224.735278
1986-04-23,223.026914
1986-04-24,233.182528
1986-04-25,235.852055
1986-04-28,233.382708
1986-04-29,226.157915
1986-04-30,211.838153
1986-05-01,208.966421
1986-05-02,212.218605
1986-05-05,220.966924
1986-05-06,220.924739
1986-05-07,217.212899
1986-05-08,221.008043
1986-05-09,224.172131
1986-05-12,223.490714
1986-05-13,220.515560
1986-05-14,220.304944
1986-05-15,215.084979
1986-05-16,211.936586
1986-05-19,213.208205
1986-05-20,220.209441
1986-05-21,222.018690
1986-05-22,231.283570
1986-05-23,233.587278
1986-05-27,238.050172
1986-05-28,238.626171
1986-05-29,240.001922
1986-05-30,246.862514
1986-06-02,241.733414
1986-06-03,242.091471
1986-06-04,240.792233
1986-06-05,243.202833
1986-06-06,241.045824
1986-06-09,226.438340
1986-06-10,224.254047
1986-06-11,232.466766
