SP-500 3x, 1927-2025
Date,Close
1927-12-30,17.660000
1928-01-03,17.960001
1928-01-04,17.838647
1928-01-05,17.325232
1928-01-06,17.651007
1928-01-09,17.171252
1928-01-10,16.788581
1928-01-11,16.730588
1928-01-12,17.077733
1928-01-13,17.400325
1928-01-16,16.539219
1928-01-17,16.567912
1928-01-18,16.452993
1928-01-19,16.796158
1928-01-20,17.086081
1928-01-23,17.555263
1928-01-24,17.764254
1928-01-25,17.192512
1928-01-26,17.516339
1928-01-27,17.695183
1928-01-30,17.095005
1928-01-31,17.329585
1928-02-01,17.211230
1928-02-02,17.505770
1928-02-03,16.820633
1928-02-06,16.965642
1928-02-07,16.936474
1928-02-08,17.082141
1928-02-09,17.257942
1928-02-10,17.228446
1928-02-14,16.933774
1928-02-15,16.817254
1928-02-16,16.672280
1928-02-17,15.778609
1928-02-20,15.528595
1928-02-21,15.968343
1928-02-23,16.024335
1928-02-24,16.164657
1928-02-27,15.967069
1928-02-28,16.107047
1928-02-29,16.388639
1928-03-01,16.502578
1928-03-02,16.502578
1928-03-05,17.275244
1928-03-06,17.570212
1928-03-07,17.301737
1928-03-08,17.478886
1928-03-09,18.340942
1928-03-12,18.555755
1928-03-13,18.308345
1928-03-14,18.338996
1928-03-15,18.768574
1928-03-16,19.360612
1928-03-19,19.678695
1928-03-20,20.000238
1928-03-21,20.617798
1928-03-22,20.451974
1928-03-23,21.045742
1928-03-26,21.953461
1928-03-27,21.573169
1928-03-28,21.402311
1928-03-29,21.606255
1928-03-30,22.735025
1928-04-02,21.426107
1928-04-03,21.800018
1928-04-04,21.696861
1928-04-05,22.519490
1928-04-09,22.660021
1928-04-10,22.060300
1928-04-11,23.238390
1928-04-12,23.130802
1928-04-13,24.274828
1928-04-16,24.090279
1928-04-17,23.502711
1928-04-18,23.502711
1928-04-19,23.900037
1928-04-20,22.840793
1928-04-23,22.167614
1928-04-24,22.514889
1928-04-25,22.795593
1928-04-26,23.290891
1928-04-27,24.044529
1928-04-30,24.301101
1928-05-01,24.411843
1928-05-02,24.596965
1928-05-03,24.969084
1928-05-04,26.134222
1928-05-07,26.792743
1928-05-08,26.241400
1928-05-09,26.124884
1928-05-10,26.008714
1928-05-11,26.587835
1928-05-14,26.901247
1928-05-15,26.703826
1928-05-16,25.367980
1928-05-17,25.633685
1928-05-18,24.869258
1928-05-21,23.783098
1928-05-22,22.801732
1928-05-23,24.179727
1928-05-24,24.620474
1928-05-25,24.731987
1928-05-28,23.501602
1928-05-29,24.402276
1928-05-31,25.067123
1928-06-01,25.330326
1928-06-04,24.308024
1928-06-05,24.492180
1928-06-06,23.788876
1928-06-07,23.607377
1928-06-08,22.740610
1928-06-11,20.310404
1928-06-12,19.201377
1928-06-13,20.928871
1928-06-14,21.460678
1928-06-15,20.412993
1928-06-18,19.301934
1928-06-19,19.113112
1928-06-20,19.832197
1928-06-21,19.800157
1928-06-22,19.736153
1928-06-25,19.512599
1928-06-26,20.178165
1928-06-27,20.761474
1928-06-28,21.454988
1928-06-29,21.691251
1928-07-02,21.147270
1928-07-03,22.183469
1928-07-05,22.838963
1928-07-06,22.522406
