date,A,B,C
1965-01-04,993.9,987.7,981.6
1965-01-05,998.57,997.08,995.54
1965-01-06,1001.67,1003.17,1004.7
1965-01-07,1006.07,1011.89,1017.86
1965-01-08,1007.38,1014.52,1021.83
1965-01-11,1007.79,1015.23,1022.95
1965-01-12,1010.3,1020.21,1030.52
1965-01-13,1013.03,1025.72,1038.87
1965-01-14,1013.03,1025.72,1038.87
1965-01-15,1017.39,1034.54,1052.27
1965-01-18,1020.64,1041.26,1062.48
1965-01-19,1022.28,1044.6,1067.68
1965-01-20,1021.97,1043.86,1066.62
1965-01-21,1021.05,1041.99,1063.63
1965-01-22,1023.6,1047.3,1071.71
1965-01-25,1025.04,1050.23,1076.22
1965-01-26,1025.96,1052.12,1079.23
1965-01-27,1029.34,1059.17,1090.02
1965-01-28,1032.33,1065.21,1099.4
1965-01-29,1033.26,1067.13,1102.36
1965-02-01,1133.49,1167.71,1203.21
1965-02-02,1133.15,1166.89,1202.0
1965-02-03,1134.17,1168.99,1205.25
1965-02-04,1133.37,1167.36,1202.72
1965-02-05,1129.74,1159.89,1191.17
1965-02-08,1125.34,1150.84,1177.23
1965-02-09,1129.05,1158.55,1189.01
1965-02-10,1119.0,1137.81,1157.14
1965-02-11,1107.14,1113.58,1120.23
1965-02-12,1115.33,1129.94,1144.98
1965-02-15,1114.0,1127.35,1140.98
1965-02-16,1108.87,1116.86,1125.12
1965-02-17,1110.2,1119.43,1129.06
1965-02-18,1113.87,1126.71,1140.12
1965-02-19,1115.98,1130.88,1146.5
1965-02-23,1121.56,1142.18,1163.7
1965-02-24,1128.4,1156.12,1185.11
1965-02-25,1128.74,1156.93,1186.3
1965-02-26,1131.68,1163.06,1195.67
1965-03-01,1229.09,1257.88,1287.64
1965-03-02,1231.18,1262.16,1294.33
1965-03-03,1229.21,1258.12,1288.12
1965-03-04,1225.28,1250.07,1275.76
1965-03-05,1222.7,1244.94,1267.85
1965-03-08,1223.07,1245.81,1269.11
1965-03-09,1221.11,1241.83,1263.02
1965-03-10,1219.04,1237.48,1256.45
1965-03-11,1224.16,1247.75,1272.16
1965-03-12,1228.56,1256.61,1285.77
1965-03-15,1228.93,1257.49,1287.06
1965-03-16,1227.34,1254.35,1282.17
1965-03-17,1225.74,1251.21,1277.29
1965-03-18,1222.8,1245.2,1268.1
1965-03-19,1223.17,1246.08,1269.37
1965-03-22,1223.04,1245.83,1268.99
1965-03-23,1224.51,1248.69,1273.43
1965-03-24,1226.71,1253.31,1280.43
1965-03-25,1223.16,1246.17,1269.42
1965-03-26,1214.11,1227.85,1241.36
1965-03-29,1211.68,1223.06,1234.04
1965-03-30,1214.1,1227.95,1241.32
1965-03-31,1213.49,1226.85,1239.58
1965-04-01,1315.99,1331.76,1347.09
1965-04-02,1319.15,1338.28,1356.92
1965-04-05,1319.15,1338.28,1356.92
1965-04-06,1318.75,1337.35,1355.56
1965-04-07,1319.54,1338.95,1357.87
1965-04-08,1327.06,1354.08,1380.95
1965-04-09,1335.03,1370.2,1405.67
1965-04-12,1340.77,1382.12,1423.94
1965-04-13,1342.24,1385.29,1428.78
1965-04-14,1345.33,1391.53,1438.5
1965-04-15,1343.98,1388.75,1434.04
1965-04-19,1349.5,1400.13,1451.68
1965-04-20,1348.69,1398.59,1449.21
1965-04-21,1346.26,1393.56,1441.39
1965-04-22,1353.53,1408.75,1464.88
1965-04-23,1355.02,1411.99,1469.86
1965-04-26,1355.15,1412.27,1470.3
1965-04-27,1357.46,1417.07,1477.8
1965-04-28,1356.91,1415.8,1475.88
1965-04-29,1355.83,1413.53,1472.34
1965-04-30,1358.54,1419.19,1481.32
1965-05-03,1460.43,1523.29,1587.64
1965-05-04,1464.96,1532.88,1602.57
1965-05-05,1468.19,1539.78,1613.3
1965-05-06,1471.56,1547.02,1624.6
1965-05-07,1470.38,1544.54,1620.86
1965-05-10,1467.3,1538.06,1610.65
1965-05-11,1465.54,1534.21,1604.69
1965-05-12,1471.98,1547.56,1625.71
1965-05-13,1477.43,1558.86,1643.59
1965-05-14,1474.62,1552.93,1634.39
1965-05-17,1465.48,1533.68,1603.99
1965-05-18,1464.16,1530.92,1599.66
1965-05-19,1467.53,1538.11,1610.86
1965-05-20,1459.46,1521.35,1584.44
1965-05-21,1452.45,1506.74,1561.47
1965-05-24,1441.7,1484.29,1526.64
1965-05-25,1450.07,1501.51,1553.21
1965-05-26,1445.14,1491.3,1537.37
1965-05-27,1437.62,1475.79,1513.38
1965-05-28,1447.11,1495.27,1543.35
1965-06-01,1552.37,1606.12,1660.11
1965-06-02,1523.81,1547.17,1568.64
1965-06-03,1520.45,1540.36,1558.44
1965-06-04,1524.1,1547.76,1569.66
1965-06-07,1520.14,1539.56,1557.26
1965-06-08,1503.57,1505.84,1506.18
1965-06-09,1487.93,1474.67,1459.34
1965-06-10,1482.58,1463.9,1443.43
1965-06-11,1489.4,1477.37,1463.35
1965-06-14,1470.04,1438.81,1406.14
1965-06-15,1478.41,1455.21,1430.18
1965-06-16,1490.83,1479.66,1466.22
1965-06-17,1500.23,1498.45,1494.08
1965-06-18,1493.17,1484.52,1473.16
1965-06-21,1488.1,1474.42,1458.14
1965-06-22,1490.92,1480.03,1466.3
1965-06-23,1481.53,1461.23,1438.44
1965-06-24,1462.12,1422.95,1381.91
1965-06-25,1453.35,1405.87,1357.04
1965-06-28,1427.77,1356.38,1285.52
1965-06-29,1441.91,1383.38,1323.83
1965-06-30,1471.75,1440.79,1406.17
1965-07-01,1578.51,1554.04,1525.45
1965-07-02,1591.14,1579.06,1562.22
1965-07-06,1587.96,1572.74,1552.84
1965-07-07,1581.92,1560.94,1535.3
1965-07-08,1595.37,1587.48,1574.45
1965-07-09,1601.27,1599.39,1592.08
1965-07-12,1600.95,1598.59,1590.96
1965-07-13,1599.03,1594.91,1585.4
1965-07-14,1604.31,1605.28,1600.93
1965-07-15,1601.58,1599.66,1592.61
1965-07-16,1601.1,1598.54,1591.02
1965-07-19,1599.98,1596.3,1587.67
1965-07-20,1579.82,1556.07,1527.66
1965-07-21,1570.82,1538.33,1501.69
1965-07-22,1566.73,1530.34,1489.83
