date,A,B,C
2005-01-03,49465.0,48930.0,48395.0
2005-01-04,48446.02,46914.08,45409.03
2005-01-05,48063.3,46172.84,44332.83
2005-01-06,48034.46,46117.43,44253.04
2005-01-07,48000.84,46057.48,44164.53
2005-01-10,48192.84,46430.55,44698.92
2005-01-11,47792.84,45659.8,43585.92
2005-01-12,48089.15,46225.98,44396.62
2005-01-13,47584.22,45255.24,42998.12
2005-01-14,47983.93,46015.52,44077.37
2005-01-18,48401.39,46816.19,45223.39
2005-01-19,47656.0,45374.26,43134.07
2005-01-20,47017.41,44162.76,41404.39
2005-01-21,46749.41,43663.72,40700.52
2005-01-24,46160.37,42567.76,39166.11
2005-01-25,46418.87,43044.52,39824.1
2005-01-26,47017.67,44159.38,41369.27
2005-01-27,47041.18,44203.54,41435.46
2005-01-28,46782.46,43712.88,40747.63
2005-01-31,47395.31,44853.78,42344.94
2005-02-01,48038.99,45630.44,43234.83
2005-02-02,48187.91,45908.79,43632.59
2005-02-03,47783.13,45137.52,42533.05
2005-02-04,48456.88,46410.4,44332.2
2005-02-07,48350.27,46206.19,44035.17
2005-02-08,48456.64,46414.12,44330.21
2005-02-09,47661.95,44896.38,42153.59
2005-02-10,47676.25,44918.82,42187.32
2005-02-11,48224.53,45951.96,43638.56
2005-02-14,48369.2,46227.67,44031.31
2005-02-15,48514.31,46505.04,44431.99
2005-02-16,48470.65,46425.98,44316.47
2005-02-17,47864.76,45265.33,42654.6
2005-02-18,47802.54,45147.64,42483.98
2005-02-22,47147.64,43906.08,40733.64
2005-02-23,47171.22,43945.59,40790.67
2005-02-24,47647.65,44828.9,42022.55
2005-02-25,47966.89,45429.61,42863.0
2005-02-28,47650.31,44829.94,42010.03
2005-03-01,48607.73,46191.2,43725.81
2005-03-02,48520.24,46024.92,43489.69
2005-03-03,48306.75,45619.9,42915.63
2005-03-04,48591.76,46162.77,43679.53
2005-03-07,49053.38,47035.25,44920.03
2005-03-08,48660.95,46287.39,43846.44
2005-03-09,48373.86,45741.2,43070.36
2005-03-10,48335.16,45672.59,42971.29
2005-03-11,47909.81,44868.75,41836.85
2005-03-14,48130.19,45281.54,42418.38
2005-03-15,47754.78,44570.62,41421.55
2005-03-16,47305.88,43728.24,40249.32
2005-03-17,47320.07,43758.85,40289.57
2005-03-18,47116.6,43382.52,39773.86
2005-03-21,47111.89,43369.51,39757.95
