NASDAQ100,LEVERAGE 3.0x,1986-2025
Date,Close-Price,Change (%)
1986-01-02,131.25,0.00%
1986-01-03,129.163125,-1.59%
1986-01-06,128.58189093750002,-0.45%
1986-01-07,135.79533501909378,5.61%
1986-01-08,130.7844871568892,-3.69%
1986-01-09,123.72212485041719,-5.40%
1986-01-10,125.91200646026958,1.77%
1986-01-13,124.55215679049867,-1.08%
1986-01-14,124.81371631975871,0.21%
1986-01-15,131.62854523081754,5.46%
1986-01-16,136.20921860484998,3.48%
1986-01-17,135.31023776205797,-0.66%
1986-01-20,131.73804748513965,-2.64%
1986-01-21,130.1967123295635,-1.17%
1986-01-22,125.82210279529016,-3.36%
1986-01-23,124.80294376264831,-0.81%
1986-01-24,127.49868734792152,2.16%
1986-01-27,129.21991962711846,1.35%
1986-01-28,132.78638940882695,2.76%
1986-01-29,136.01309867146145,2.43%
1986-01-30,133.36084324736797,-1.95%
1986-01-31,135.60130541392374,1.68%
1986-02-03,139.62866418471728,2.97%
1986-02-04,140.75965636461348,0.81%
1986-02-05,144.26457180809234,2.49%
1986-02-06,147.20756907297744,2.04%
1986-02-07,149.72481850412532,1.71%
1986-02-10,152.06052567278968,1.56%
1986-02-11,152.4710890921062,0.27%
1986-02-12,153.79758756720753,0.87%
1986-02-13,155.45860151293337,1.08%
1986-02-14,158.81650730561273,2.16%
1986-02-18,160.76995034547176,1.23%
1986-02-19,157.00793350738772,-2.34%
1986-02-20,157.99708348848426,0.63%
1986-02-21,162.07340824248718,2.58%
1986-02-24,158.81573273681317,-2.01%
1986-02-25,156.09998370701368,-1.71%
1986-02-26,154.36727388786582,-1.11%
1986-02-27,159.87818556566265,3.57%
1986-02-28,159.54244137597476,-0.21%
1986-03-03,157.19716748774792,-1.47%
1986-03-04,159.8852390517884,1.71%
1986-03-05,158.87796204576213,-0.63%
1986-03-06,160.73683420169755,1.17%
1986-03-07,159.82063424674786,-0.57%
1986-03-10,166.34131612401515,4.08%
1986-03-11,176.52140467080486,6.12%
1986-03-12,181.1815697541141,2.64%
1986-03-13,182.64914046912241,0.81%
1986-03-14,182.5943457269817,-0.03%
1986-03-17,180.23887866710362,-1.29%
1986-03-18,184.88904173671492,2.58%
1986-03-19,184.27890789898376,-0.33%
1986-03-20,185.49514869111704,0.66%
1986-03-21,186.27422831561972,0.42%
1986-03-24,182.86540993744387,-1.83%
1986-03-25,184.34661975793716,0.81%
1986-03-26,183.46175598309907,-0.48%
1986-03-27,187.69972254630864,2.31%
1986-03-31,189.5016398827532,0.96%
1986-04-01,187.9098261077381,-0.84%
1986-04-02,189.7137604383724,0.96%
1986-04-03,188.91696264453122,-0.42%
1986-04-04,182.5126776108816,-3.39%
1986-04-07,178.89892659418615,-1.98%
1986-04-08,189.4181834779243,5.88%
1986-04-09,189.92961257331467,0.27%
1986-04-10,200.24279053604565,5.43%
1986-04-11,203.78708792853365,1.77%
1986-04-14,208.86138641795412,2.49%
1986-04-15,212.87152503717886,1.92%
1986-04-16,229.28391961754534,7.71%
1986-04-17,229.97177137639795,0.30%
1986-04-18,223.90051661206104,-2.64%
1986-04-21,227.59487513616003,1.65%
1986-04-22,224.7271797094444,-1.26%
1986-04-23,223.0417258616236,-0.75%
1986-04-24,233.21242856091365,4.56%
1986-04-25,235.87105024650808,1.14%
1986-04-28,233.39440421891976,-1.05%
1986-04-29,226.18251712855513,-3.09%
1986-04-30,211.8651637943176,-6.33%
1986-05-01,209.0049840830943,-1.35%
1986-05-02,212.26546183479059,1.56%
1986-05-05,220.98957231620045,4.11%
1986-05-06,220.9232754445056,-0.03%
1986-05-07,217.2117644170379,-1.68%
1986-05-08,220.99124911789437,1.74%
