SP500 1927-DANES,LEVERAGE 3.0x
Date,Close,Change (%)
1927-12-30,17.65999984741211,0.00%
1928-01-03,17.961985844802854,1.71%
1928-01-04,17.838048142473713,-0.69%
1928-01-05,17.32431235597047,-2.88%
1928-01-06,17.651741859498312,1.89%
1928-01-09,17.169849306734008,-2.73%
1928-01-10,16.788678652124513,-2.22%
1928-01-11,16.728239408976865,-0.36%
1928-01-12,17.074513964742685,2.07%
1928-01-13,17.39722227867632,1.89%
1928-01-16,16.536059775881842,-4.95%
1928-01-17,16.56582468347843,0.18%
1928-01-18,16.451520493162427,-0.69%
1928-01-19,16.797002423518837,2.10%
1928-01-20,17.089270265688064,1.74%
1928-01-23,17.560934125021056,2.76%
1928-01-24,17.77166533452131,1.20%
1928-01-25,17.201194877283175,-3.21%
1928-01-26,17.526297460463827,1.89%
1928-01-27,17.705065694560556,1.02%
1928-01-30,17.10486396751495,-3.39%
1928-01-31,17.34091109026666,1.38%
1928-02-01,17.22125880374382,-0.69%
1928-02-02,17.515742329287836,1.71%
1928-02-03,16.83262837844561,-3.90%
1928-02-06,16.979072245338084,0.87%
1928-02-07,16.948509915296476,-0.18%
1928-02-08,17.095961951559556,0.87%
1928-02-09,17.270340763465462,1.02%
1928-02-10,17.239254150091224,-0.18%
1928-02-14,16.944462904124663,-1.71%
1928-02-15,16.827546110086203,-0.69%
1928-02-16,16.681146458928453,-0.87%
1928-02-17,15.785368894083994,-5.37%
1928-02-20,15.534381528668058,-1.59%
1928-02-21,15.972451087776498,2.82%
1928-02-23,16.029951911692496,0.36%
1928-02-24,16.16941249332422,0.87%
1928-02-27,15.970528719656333,-1.23%
1928-02-28,16.10947231951734,0.87%
1928-02-29,16.389777137876944,1.74%
1928-03-01,16.502866600128293,0.69%
1928-03-02,16.502866600128293,0.00%
1928-03-05,17.275200757014296,4.68%
1928-03-06,17.570606689959238,1.71%
1928-03-07,17.301776407602862,-1.53%
1928-03-08,17.47825452696041,1.02%
1928-03-09,18.33818464968686,4.92%
1928-03-12,18.552741410088196,1.17%
1928-03-13,18.30784522347503,-1.32%
1928-03-14,18.340799344877286,0.18%
1928-03-15,18.769974049547418,2.34%
1928-03-16,19.361228232108164,3.15%
1928-03-19,19.680688497937947,1.65%
1928-03-20,19.99951565160454,1.62%
1928-03-21,20.61750068523912,3.09%
1928-03-22,20.45049892968868,-0.81%
1928-03-23,21.04560844854262,2.91%
1928-03-26,21.95477873351966,4.32%
1928-03-27,21.572765583556418,-1.74%
1928-03-28,21.404498012004677,-0.78%
1928-03-29,21.60998119291992,0.96%
1928-03-30,22.73802221119034,5.22%
1928-04-02,21.428312131825777,-5.76%
1928-04-03,21.801164762919548,1.74%
1928-04-04,21.696519172057535,-0.48%
1928-04-05,22.51664759676131,3.78%
1928-04-09,22.658502476620907,0.63%
1928-04-10,22.060318011238117,-2.64%
1928-04-11,23.23833899303823,5.34%
1928-04-12,23.133766467569558,-0.45%
1928-04-13,24.278887907714253,4.95%
1928-04-16,24.0967962484064,-0.75%
1928-04-17,23.511244099570124,-2.43%
1928-04-18,23.511244099570124,0.00%
1928-04-19,23.9062330004429,1.68%
1928-04-20,22.844796255223233,-4.44%
1928-04-23,22.17315924531967,-2.94%
1928-04-24,22.519060529546657,1.56%
1928-04-25,22.802800692218945,1.26%
1928-04-26,23.295341187170877,2.16%
1928-04-27,24.050110241635213,3.24%
1928-04-30,24.309851432244873,1.08%
1928-05-01,24.419245763689972,0.45%
1928-05-02,24.60239010691765,0.75%
1928-05-03,24.97142595852141,1.50%
1928-05-04,26.140088693380214,4.68%
1928-05-07,26.798818928453393,2.52%
1928-05-08,26.244083376634407,-2.07%
1928-05-09,26.125985001439552,-0.45%
1928-05-10,26.008418068933075,-0.45%
1928-05-11,26.585804950063388,2.22%
1928-05-14,26.89685886797913,1.17%
1928-05-15,26.703201484129682,-0.72%
1928-05-16,25.365371089774783,-5.01%
1928-05-17,25.631707486217415,1.05%
1928-05-18,24.87044577387676,-2.97%
1928-05-21,23.781120248980958,-4.38%
1928-05-22,22.796581870673148,-4.14%
1928-05-23,24.171215757474737,6.03%
1928-05-24,24.613549005836525,1.83%
1928-05-25,24.72430997636279,0.45%
1928-05-28,23.493039339539923,-4.98%
1928-05-29,24.395172050178257,3.84%
1928-05-31,25.061160247148127,2.73%
1928-06-01,25.32430242974318,1.05%
1928-06-04,24.298668181338584,-4.05%
1928-06-05,24.480908192698625,0.75%
1928-06-06,23.775858036748904,-2.88%
1928-06-07,23.597539101473288,-0.75%
1928-06-08,22.733869170359366,-3.66%
1928-06-11,20.305891942964987,-10.68%
1928-06-12,19.1971902428791,-5.46%
1928-06-13,20.92493736473822,9.00%
1928-06-14,21.458523267539046,2.55%
1928-06-15,20.409201479756387,-4.89%
1928-06-18,19.300981839405615,-5.43%
1928-06-19,19.1099021191955,-0.99%
1928-06-20,19.826523448665334,3.75%
1928-06-21,19.796783663492338,-0.15%
1928-06-22,19.731454277402815,-0.33%
1928-06-25,19.506515698640424,-1.14%
1928-06-26,20.173638535533925,3.42%
1928-06-27,20.7546393253573,2.88%
1928-06-28,21.4457688148917,3.33%
1928-06-29,21.683816848737,1.11%
1928-07-02,21.137384664148826,-2.52%
1928-07-03,22.171002774225702,4.89%
1928-07-05,22.822830255787938,2.94%
1928-07-06,22.507875198258063,-1.38%
1928-07-09,22.75096025039925,1.08%
1928-07-10,22.648580929272452,-0.45%
1928-07-11,20.970321082413363,-7.41%
1928-07-12,20.504779954383785,-2.22%
1928-07-13,20.996894673288995,2.40%
1928-07-16,20.133922302216817,-4.11%
1928-07-17,20.454051666822064,1.59%
1928-07-18,21.20266995782775,3.66%
1928-07-19,21.069093137093436,-0.63%
1928-07-20,21.201828423857123,0.63%
1928-07-23,21.500774204633508,1.41%
1928-07-24,21.397570488451265,-0.48%
1928-07-25,21.76988821495032,1.74%
1928-07-26,21.907038510704506,0.63%
1928-07-27,22.524816996706374,2.82%
1928-07-30,22.700510569280684,0.78%
1928-07-31,22.557497352694217,-0.63%
1928-08-01,22.523661106665177,-0.15%
1928-08-02,22.212834583393196,-1.38%
1928-08-03,22.31945618939348,0.48%
1928-08-06,23.082781591070738,3.42%
1928-08-07,22.76423920511396,-1.38%
1928-08-08,21.924238778445254,-3.69%
1928-08-09,22.09524784091713,0.78%
1928-08-10,21.922904907757975,-0.78%
1928-08-13,22.06101920867685,0.63%
1928-08-14,21.511699830380795,-2.49%
1928-08-15,22.66042460132313,5.34%
1928-08-16,23.14988977271171,2.16%
1928-08-17,23.25406427668891,0.45%
1928-08-20,23.714494749367354,1.98%
1928-08-21,24.61090265089344,3.78%
1928-08-22,24.53706994294076,-0.30%
1928-08-23,24.61068115276958,0.30%
1928-08-24,25.79199384810252,4.80%
1928-08-27,25.946745811191136,0.60%
1928-08-28,26.561683686916368,2.37%
1928-08-29,26.713085283931793,0.57%
1928-08-30,26.833294167709486,0.45%
1928-08-31,27.847592687248905,3.78%
1928-09-04,28.248598021945288,1.44%
1928-09-05,28.655377833461298,1.44%
1928-09-06,28.12238780575892,-1.86%
1928-09-07,28.729831382363315,2.16%
1928-09-10,28.031696479771888,-2.43%
1928-09-11,28.670819159510685,2.28%
1928-09-12,28.99766649792911,1.14%
1928-09-13,28.9193727983847,-0.27%
1928-09-14,28.9193727983847,0.00%
1928-09-17,29.700195863941083,2.70%
1928-09-18,29.07649175079832,-2.10%
1928-09-19,29.07649175079832,0.00%
1928-09-20,29.24222775377787,0.57%
1928-09-21,29.82122386330267,1.98%
1928-09-24,30.116453979549366,0.99%
1928-09-25,30.03513955380458,-0.27%
1928-09-26,29.990086844473876,-0.15%
1928-09-27,28.856461561752763,-3.78%
1928-09-28,28.899746254095394,0.15%
1928-10-01,29.80141833722317,3.12%
1928-10-02,29.381218338668322,-1.41%
1928-10-03,29.090344277115506,-0.99%
1928-10-04,29.37833868545895,0.99%
1928-10-05,29.210882154951832,-0.57%
1928-10-08,28.755192393334585,-1.56%
1928-10-09,29.0398687980286,0.99%
1928-10-10,29.989472507724134,3.27%
1928-10-11,30.412324070083045,1.41%
1928-10-15,31.005364389449667,1.95%
1928-10-16,31.303015887588387,0.96%
1928-10-17,31.603524840109237,0.96%
1928-10-18,31.821589161505987,0.69%
1928-10-19,32.346645382670836,1.65%
1928-10-22,31.686773816864353,-2.04%
1928-10-23,32.295159874148155,1.92%
1928-10-24,32.46955373746856,0.54%
1928-10-25,32.118882557103895,-1.08%
1928-10-26,30.972238449815286,-3.57%
1928-10-29,32.47748923847631,4.86%
1928-10-30,31.415475340378137,-3.27%
1928-10-31,31.06676356409994,-1.11%
1928-11-01,32.39952772099983,4.29%
1928-11-02,32.22457027130643,-0.54%
1928-11-05,33.500663254050174,3.96%
1928-11-07,33.500663254050174,0.00%
1928-11-08,34.17402658545658,2.01%
1928-11-09,34.90193335172681,2.13%
1928-11-12,36.25263817243864,3.87%
1928-11-13,36.58978770744232,0.93%
1928-11-14,36.58978770744232,0.00%
1928-11-15,37.160588395678424,1.56%
1928-11-16,38.81051852044654,4.44%
1928-11-19,38.81051852044654,0.00%
1928-11-20,39.81182989827406,2.58%
1928-11-21,38.0441846507907,-4.44%
1928-11-22,39.5164945967763,3.87%
1928-11-23,40.42932562196182,2.31%
1928-11-26,40.93873512479854,1.26%
1928-11-27,41.50368966952076,1.38%
1928-11-28,42.96046917692094,3.51%
1928-11-30,43.437330384784765,1.11%
1928-12-03,41.130808141352695,-5.31%
1928-12-04,41.439289202412844,0.75%
1928-12-05,40.917154158462445,-1.26%
1928-12-06,36.27714887689281,-11.34%
1928-12-07,33.665194157756524,-7.20%
1928-12-10,33.44300387631533,-0.66%
1928-12-11,35.37935380075399,5.79%
1928-12-12,34.34981460515205,-2.91%
1928-12-13,34.16432560628423,-0.54%
1928-12-14,34.3898101552857,0.66%
1928-12-17,33.97713243342227,-1.20%
1928-12-18,35.159536642105365,3.48%
1928-12-19,36.45692354419905,3.69%
1928-12-20,36.88346954966618,1.17%
1928-12-21,38.133819167399864,3.39%
1928-12-24,39.16343228491966,2.70%
1928-12-26,38.66997303812967,-1.26%
1928-12-27,39.65605735060198,2.55%
1928-12-28,41.369199028147975,4.32%
1928-12-31,43.28045602324841,4.62%
1929-01-02,45.734457879766595,5.67%
1929-01-03,46.00886462704519,0.60%
1929-01-04,45.953653989492736,-0.12%
1929-01-07,42.63120480605241,-7.23%
1929-01-08,42.20915587847249,-0.99%
1929-01-09,44.146556133294375,4.59%
1929-01-10,44.358459602734186,0.48%
1929-01-11,44.14553899664106,-0.48%
1929-01-14,44.410412230620906,0.60%
1929-01-15,42.46523617491971,-4.38%
1929-01-16,44.197817810856435,4.08%
1929-01-17,44.900563114049056,1.59%
1929-01-18,45.33160851994393,0.96%
1929-01-21,45.82118989195932,1.08%
1929-01-22,46.97588387723669,2.52%
1929-01-23,47.82144978702695,1.80%
1929-01-24,46.91762438605214,-1.89%
1929-01-25,49.28227265510917,5.04%
1929-01-28,48.528253883485995,-1.53%
1929-01-29,48.58648778814618,0.12%
1929-01-30,49.09664590992171,1.05%
1929-01-31,50.775751200041036,3.42%
1929-02-01,51.369827489081516,1.17%
1929-02-04,50.18318447408373,-2.31%
1929-02-05,50.5294484469549,0.69%
1929-02-06,49.28642401515982,-2.46%
1929-02-07,44.761930290568145,-9.18%
1929-02-08,43.29821517006657,-3.27%
1929-02-11,46.16888683584198,6.63%
1929-02-13,46.00267884323295,-0.36%
1929-02-14,45.45064669711415,-1.20%
1929-02-15,42.70997270127817,-6.03%
1929-02-18,42.9149805702443,0.48%
1929-02-19,42.86348259356001,-0.12%
1929-02-20,43.96936044447386,2.58%
1929-02-21,45.42034933914149,3.30%
1929-02-25,45.692871435176336,0.60%
1929-02-26,45.91219721806518,0.48%
1929-02-27,47.56503631791553,3.60%
1929-02-28,49.491420288791105,4.05%
1929-03-01,50.88707834093501,2.82%
1929-03-04,48.87195003863399,-3.96%
1929-03-05,47.889623842857446,-2.01%
1929-03-06,45.619655672706,-4.74%
1929-03-07,46.87875816927269,2.76%
1929-03-08,47.77883032612274,1.92%
1929-03-11,45.74345215422991,-4.26%
1929-03-12,45.85323643940006,0.24%
1929-03-13,47.33888130003662,3.24%
1929-03-14,50.09400419169875,5.82%
1929-03-15,52.13783956272006,4.08%
1929-03-18,51.90321928468782,-0.45%
1929-03-19,51.8409354215462,-0.12%
1929-03-20,51.77872629904034,-0.12%
1929-03-21,51.064179876113585,-1.38%
1929-03-22,48.99608059113098,-4.05%
1929-03-25,43.01365915095389,-12.21%
1929-03-26,42.174892797510296,-1.95%
1929-03-27,46.02124302064323,9.12%
1929-03-28,48.437358279227006,5.25%
1929-04-01,44.731900370866136,-7.65%
1929-04-02,46.30199007388353,3.51%
1929-04-03,44.593446640157225,-3.69%
1929-04-04,46.96135865674957,5.31%
1929-04-05,45.56660630464411,-2.97%
1929-04-08,44.363647898201506,-2.64%
1929-04-09,43.28561125427521,-2.43%
1929-04-10,44.077737940228445,1.83%
1929-04-11,45.57197325640219,3.39%
1929-04-12,46.064150567571325,1.08%
1929-04-15,45.23499585735504,-1.80%
1929-04-16,45.560687827528,0.72%
1929-04-17,46.98218128774687,3.12%
1929-04-18,47.5882514263588,1.29%
1929-04-19,47.47403962293554,-0.24%
1929-04-22,49.09765177803994,3.42%
1929-04-23,49.951950918977836,1.74%
1929-04-24,49.367513093225796,-1.17%
1929-04-25,48.67143115861131,-1.41%
1929-04-26,48.37940257165965,-0.60%
1929-04-29,48.08912615622969,-0.60%
1929-04-30,50.41183094957558,4.83%
1929-05-01,50.69917838598816,0.57%
1929-05-02,51.3988270477148,1.38%
1929-05-03,52.94079185914625,3.00%
1929-05-06,52.63902934554912,-0.57%
1929-05-07,51.13881700920097,-2.85%
1929-05-08,51.7831661035169,1.26%
1929-05-09,50.83553416382254,-1.83%
1929-05-10,52.71136537446758,3.69%
1929-05-13,48.50499841758507,-7.98%
1929-05-14,50.26572986014341,3.63%
1929-05-15,49.632381663905605,-1.26%
1929-05-16,50.376867388864184,1.50%
1929-05-17,51.07206815883051,1.38%
1929-05-20,46.965873878860535,-8.04%
1929-05-21,48.68482486282683,3.66%
1929-05-22,43.33923109288844,-10.98%
1929-05-23,46.22562388367481,6.66%
1929-05-24,45.185547346292125,-2.25%
1929-05-27,40.22417424766925,-10.98%
1929-05-28,42.16700186383167,4.83%
1929-05-29,42.31880307054147,0.36%
1929-05-31,43.39793254884028,2.55%
1929-06-03,45.70236276718369,5.31%
1929-06-04,47.70412625638634,4.38%
1929-06-05,47.41790149884802,-0.60%
1929-06-06,47.702408907841104,0.60%
1929-06-07,47.087047832929954,-1.29%
1929-06-10,45.6461841692423,-3.06%
1929-06-11,46.50889705004097,1.89%
1929-06-12,46.62051840296107,0.24%
1929-06-13,48.760400197656985,4.59%
1929-06-14,49.27238439973238,1.05%
1929-06-17,52.007001733917534,5.55%
1929-06-18,52.06941013599824,0.12%
1929-06-19,51.47581886044786,-1.14%
1929-06-20,52.35605536296151,1.71%
1929-06-21,53.25134390966815,1.71%
1929-06-24,53.25134390966815,0.00%
