date,A,B,C
2000-01-03,1022.3,1044.6,1066.9
2000-01-04,956.36,909.95,860.56
2000-01-05,945.84,890.02,832.25
2000-01-06,900.91,805.56,713.74
2000-01-07,951.82,896.59,834.72
2000-01-10,1002.45,991.99,967.94
2000-01-11,955.74,899.63,832.72
2000-01-12,937.87,865.99,786.08
2000-01-13,973.97,932.67,876.88
2000-01-14,999.0,980.51,944.4
2000-01-18,1013.29,1008.55,985.0
2000-01-19,1022.21,1026.3,1011.01
2000-01-20,1035.91,1053.81,1051.65
2000-01-21,1038.08,1058.34,1058.38
2000-01-24,987.11,954.41,902.48
2000-01-25,1013.57,1005.57,975.04
2000-01-26,976.37,931.76,867.69
2000-01-27,968.85,917.32,847.56
2000-01-28,929.22,842.28,743.48
2000-01-31,962.68,902.84,823.7
2000-02-01,1101.89,1076.85,1025.95
2000-02-02,1108.61,1090.1,1044.83
2000-02-03,1146.3,1164.22,1151.51
2000-02-04,1153.18,1178.31,1172.35
2000-02-07,1170.71,1214.13,1225.93
2000-02-08,1209.23,1294.02,1346.93
2000-02-09,1181.17,1233.98,1253.18
2000-02-10,1217.31,1309.62,1368.35
2000-02-11,1181.28,1232.09,1246.84
2000-02-14,1186.36,1242.81,1263.05
2000-02-15,1189.57,1249.65,1273.4
2000-02-16,1189.8,1250.27,1274.3
2000-02-17,1227.76,1329.91,1396.12
2000-02-18,1180.24,1226.98,1234.03
2000-02-22,1181.31,1229.06,1237.24
2000-02-23,1241.08,1353.57,1425.17
2000-02-24,1265.78,1407.44,1510.26
2000-02-25,1243.63,1358.18,1430.97
2000-02-28,1238.78,1347.45,1414.08
2000-02-29,1269.99,1415.36,1520.85
2000-03-01,1383.56,1545.21,1668.82
2000-03-02,1359.62,1491.59,1582.04
2000-03-03,1426.65,1638.52,1815.87
2000-03-06,1431.22,1649.0,1833.48
2000-03-07,1409.89,1599.86,1751.53
2000-03-08,1427.51,1639.86,1817.21
2000-03-09,1472.62,1743.5,1989.66
2000-03-10,1472.92,1744.2,1990.86
2000-03-13,1421.37,1622.28,1782.02
2000-03-14,1357.26,1475.78,1540.73
2000-03-15,1326.18,1408.05,1434.73
2000-03-16,1397.93,1560.26,1667.44
2000-03-17,1425.89,1622.67,1767.49
2000-03-20,1368.28,1491.55,1553.44
2000-03-21,1428.76,1623.26,1759.28
2000-03-22,1476.05,1730.88,1934.15
2000-03-23,1496.57,1779.0,2014.61
2000-03-24,1506.44,1802.66,2054.7
2000-03-27,1510.66,1812.76,2071.96
2000-03-28,1471.69,1719.22,1911.59
2000-03-29,1417.23,1592.17,1699.59
2000-03-30,1364.66,1474.03,1510.43
2000-03-31,1412.01,1576.47,1667.82
2000-04-03,1401.78,1431.88,1381.02
2000-04-04,1387.06,1401.81,1337.52
2000-04-05,1385.68,1399.14,1333.64
2000-04-06,1405.08,1438.32,1389.65
2000-04-07,1475.47,1582.44,1598.51
2000-04-10,1374.7,1366.12,1270.82
2000-04-11,1344.04,1305.33,1185.93
2000-04-12,1249.29,1121.28,935.1
2000-04-13,1221.8,1072.05,873.48
2000-04-14,1102.92,863.43,618.42
2000-04-17,1213.43,1036.46,804.32
2000-04-18,1277.5,1145.91,931.73
2000-04-19,1231.9,1064.09,831.85
2000-04-20,1205.16,1017.91,777.69
2000-04-24,1152.98,929.76,676.67
2000-04-25,1245.1,1078.34,838.94
2000-04-26,1205.26,1009.32,758.4
2000-04-27,1269.5,1116.92,879.67
2000-04-28,1297.17,1165.73,937.28
2000-05-01,1418.13,1303.7,1083.96
2000-05-02,1343.11,1165.77,912.05
2000-05-03,1318.94,1123.92,862.89
2000-05-04,1322.1,1129.31,869.1
2000-05-05,1365.6,1203.73,954.97
