SP500 osnoven more padet 6.0% da kupimo 2x,in osnoven more padet 8.0% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-74956.43,27043.57
1928-01-03-1943-01-04,30000,72000.0,102000.0,-73549.72,28450.28
1929-01-02-1944-01-03,30000,72000.0,102000.0,-57244.01,44755.99
1930-01-02-1945-01-02,30000,72000.0,102000.0,-32252.03,69747.97
1931-01-02-1946-01-02,30000,72000.0,102000.0,49955.93,151955.93
1932-01-04-1947-01-06,30000,72000.0,102000.0,6867.3,108867.3
1933-01-03-1948-01-05,30000,72000.0,102000.0,13471.09,115471.09
1934-01-02-1949-01-03,30000,72000.0,102000.0,-4959.15,97040.85
1935-01-02-1950-01-03,30000,72000.0,102000.0,35837.21,137837.21
1936-01-02-1951-01-02,30000,72000.0,102000.0,112938.29,214938.29
1937-01-04-1952-01-04,30000,72000.0,102000.0,195889.71,297889.71
1938-01-03-1953-01-05,30000,72000.0,102000.0,378458.21,480458.21
1939-01-03-1954-01-04,30000,72000.0,102000.0,245232.25,347232.25
1940-01-02-1955-01-03,30000,72000.0,102000.0,920471.0,1022471.0
1941-01-02-1956-01-03,30000,72000.0,102000.0,1897254.0,1999254.0
1942-01-02-1957-01-02,30000,72000.0,102000.0,2540050.44,2642050.44
1943-01-04-1958-01-06,30000,72000.0,102000.0,1205733.44,1307733.44
1944-01-03-1959-01-05,30000,72000.0,102000.0,2072901.77,2174901.77
1945-01-02-1960-01-04,30000,72000.0,102000.0,1958909.39,2060909.39
1946-01-02-1961-01-03,30000,72000.0,102000.0,1096375.1,1198375.1
1947-01-02-1962-01-02,30000,72000.0,102000.0,2161076.83,2263076.83
1948-01-02-1963-01-02,30000,72000.0,102000.0,1362525.44,1464525.44
1949-01-03-1964-01-03,30000,72000.0,102000.0,2210667.55,2312667.55
1950-01-03-1965-01-04,30000,72000.0,102000.0,2312032.01,2414032.01
1951-01-02-1966-01-03,30000,72000.0,102000.0,1819540.98,1921540.98
1952-01-02-1967-01-03,30000,72000.0,102000.0,778800.11,880800.11
