SP500 osnoven more padet 7.000000000000001% da kupimo 2x,in osnoven more padet 8.0% da kupimo 3x
Datum od kdaj do kdaj,Zacetna investicija,vse mesecne investicije,skupaj vse investicije,koliko smo v plusu oz minusu,koliko imamo vse skupaj
1927-12-30-1942-12-30,30000,72000.0,102000.0,-58436.63,43563.37
1928-01-03-1943-01-04,30000,72000.0,102000.0,-56761.08,45238.92
1929-01-02-1944-01-03,30000,72000.0,102000.0,-42918.13,59081.87
1930-01-02-1945-01-02,30000,72000.0,102000.0,-13557.7,88442.3
1931-01-02-1946-01-02,30000,72000.0,102000.0,82873.14,184873.14
1932-01-04-1947-01-06,30000,72000.0,102000.0,58000.7,160000.7
1933-01-03-1948-01-05,30000,72000.0,102000.0,57823.69,159823.69
1934-01-02-1949-01-03,30000,72000.0,102000.0,27817.52,129817.52
1935-01-02-1950-01-03,30000,72000.0,102000.0,64927.79,166927.79
1936-01-02-1951-01-02,30000,72000.0,102000.0,139956.53,241956.53
1937-01-04-1952-01-04,30000,72000.0,102000.0,222157.37,324157.37
1938-01-03-1953-01-05,30000,72000.0,102000.0,335388.42,437388.42
1939-01-03-1954-01-04,30000,72000.0,102000.0,231622.1,333622.1
1940-01-02-1955-01-03,30000,72000.0,102000.0,695712.92,797712.92
1941-01-02-1956-01-03,30000,72000.0,102000.0,1003640.07,1105640.07
1942-01-02-1957-01-02,30000,72000.0,102000.0,695440.08,797440.08
1943-01-04-1958-01-06,30000,72000.0,102000.0,364554.57,466554.57
1944-01-03-1959-01-05,30000,72000.0,102000.0,730068.03,832068.03
1945-01-02-1960-01-04,30000,72000.0,102000.0,836491.64,938491.64
1946-01-02-1961-01-03,30000,72000.0,102000.0,685078.76,787078.76
1947-01-02-1962-01-02,30000,72000.0,102000.0,693420.86,795420.86
1948-01-02-1963-01-02,30000,72000.0,102000.0,414212.92,516212.92
1949-01-03-1964-01-03,30000,72000.0,102000.0,353444.76,455444.76
1950-01-03-1965-01-04,30000,72000.0,102000.0,325463.65,427463.65
1951-01-02-1966-01-03,30000,72000.0,102000.0,308322.37,410322.37
1952-01-02-1967-01-03,30000,72000.0,102000.0,188812.28,290812.28
1953-01-02-1968-01-02,30000,72000.0,102000.0,264032.49,366032.49
1954-01-04-1969-01-06,30000,72000.0,102000.0,220113.54,322113.54
1955-01-03-1970-01-05,30000,72000.0,102000.0,128307.98,230307.98
1956-01-03-1971-01-04,30000,72000.0,102000.0,93091.08,195091.08
1957-01-02-1972-01-03,30000,72000.0,102000.0,113864.8,215864.8
1958-01-02-1973-01-02,30000,72000.0,102000.0,146774.83,248774.83
1959-01-02-1974-01-02,30000,72000.0,102000.0,50824.07,152824.07
1960-01-04-1975-01-06,30000,72000.0,102000.0,-14129.43,87870.57
1961-01-03-1976-01-05,30000,72000.0,102000.0,23289.93,125289.93
1962-01-02-1977-01-03,30000,72000.0,102000.0,41711.96,143711.96
1963-01-02-1978-01-03,30000,72000.0,102000.0,11591.08,113591.08
1964-01-02-1979-01-02,30000,72000.0,102000.0,6651.03,108651.03
1965-01-04-1980-01-04,30000,72000.0,102000.0,19279.16,121279.16
1966-01-03-1981-01-05,30000,72000.0,102000.0,90963.67,192963.67
1967-01-03-1982-01-04,30000,72000.0,102000.0,46699.33,148699.33
1968-01-02-1983-01-03,30000,72000.0,102000.0,69914.25,171914.25
1969-01-02-1984-01-03,30000,72000.0,102000.0,134953.12,236953.12
1970-01-02-1985-01-02,30000,72000.0,102000.0,131966.69,233966.69
1971-01-04-1986-01-06,30000,72000.0,102000.0,279706.19,381706.19
1972-01-03-1987-01-05,30000,72000.0,102000.0,442169.84,544169.84
1973-01-02-1988-01-04,30000,72000.0,102000.0,287143.19,389143.19
1974-01-02-1989-01-03,30000,72000.0,102000.0,282806.05,384806.05
1975-01-02-1990-01-02,30000,72000.0,102000.0,462264.74,564264.74
1976-01-02-1991-01-02,30000,72000.0,102000.0,287574.26,389574.26
1977-01-03-1992-01-03,30000,72000.0,102000.0,474969.29,576969.29
1978-01-03-1993-01-04,30000,72000.0,102000.0,395683.6,497683.6
1979-01-02-1994-01-03,30000,72000.0,102000.0,384227.57,486227.57
1980-01-02-1995-01-03,30000,72000.0,102000.0,329945.42,431945.42
1981-01-02-1996-01-02,30000,72000.0,102000.0,589248.48,691248.48
1982-01-04-1997-01-06,30000,72000.0,102000.0,610958.47,712958.47
1983-01-03-1998-01-05,30000,72000.0,102000.0,755455.22,857455.22
1984-01-03-1999-01-04,30000,72000.0,102000.0,1033039.33,1135039.33
1985-01-02-2000-01-03,30000,72000.0,102000.0,1156495.62,1258495.62
1986-01-02-2001-01-02,30000,72000.0,102000.0,705623.36,807623.36
1987-01-02-2002-01-02,30000,72000.0,102000.0,455687.85,557687.85
1988-01-04-2003-01-06,30000,72000.0,102000.0,150267.85,252267.85
1989-01-03-2004-01-05,30000,72000.0,102000.0,188802.22,290802.22
1990-01-02-2005-01-03,30000,72000.0,102000.0,176451.44,278451.44
1991-01-02-2006-01-03,30000,72000.0,102000.0,149520.14,251520.14
1992-01-02-2007-01-03,30000,72000.0,102000.0,149619.41,251619.41
1993-01-04-2008-01-04,30000,72000.0,102000.0,127734.23,229734.23
1994-01-03-2009-01-05,30000,72000.0,102000.0,9432.39,111432.39
1995-01-03-2010-01-04,30000,72000.0,102000.0,34356.47,136356.47
1996-01-02-2011-01-03,30000,72000.0,102000.0,29196.87,131196.87
1997-01-02-2012-01-03,30000,72000.0,102000.0,9099.69,111099.69
1998-01-02-2013-01-02,30000,72000.0,102000.0,18937.1,120937.1
1999-01-04-2014-01-06,30000,72000.0,102000.0,70960.36,172960.36
2000-01-03-2015-01-05,30000,72000.0,102000.0,99906.32,201906.32
2001-01-02-2016-01-04,30000,72000.0,102000.0,95765.07,197765.07
2002-01-02-2017-01-03,30000,72000.0,102000.0,154838.18,256838.18
2003-01-02-2018-01-02,30000,72000.0,102000.0,270502.71,372502.71
2004-01-02-2019-01-02,30000,72000.0,102000.0,178453.59,280453.59
2005-01-03-2020-01-03,30000,72000.0,102000.0,350679.84,452679.84
2006-01-03-2021-01-04,30000,72000.0,102000.0,371060.65,473060.65
2007-01-03-2022-01-03,30000,72000.0,102000.0,717356.68,819356.68
2008-01-02-2023-01-03,30000,72000.0,102000.0,287883.57,389883.57
2009-01-02-2024-01-02,30000,72000.0,102000.0,356786.4,458786.4
2010-01-04-2025-01-06,30000,72000.0,102000.0,408354.77,510354.77
