date,A
2009-02-19,9880.0
2009-02-20,9767.37
2009-02-23,9428.44
2009-02-24,9806.52
2009-02-25,9701.59
2009-02-26,9548.31
2009-02-27,9322.97
2009-03-02,8983.86
2009-03-03,8926.36
2009-03-04,9138.81
2009-03-05,8750.41
2009-03-06,8760.91
2009-03-09,8673.3
2009-03-10,9225.79
2009-03-11,9247.93
2009-03-12,9624.32
2009-03-13,9698.43
2009-03-16,9664.48
2009-03-17,9974.71
2009-03-18,10183.18
2009-03-19,10050.8
2009-03-20,9851.8
2009-03-23,10549.3
2009-03-24,10334.1
2009-03-25,10433.31
2009-03-26,10676.4
2009-03-27,10459.67
2009-03-30,10095.67
2009-03-31,10227.93
2009-04-01,10499.37
2009-04-02,10800.7
2009-04-03,10905.47
2009-04-06,10814.95
2009-04-07,10556.48
2009-04-08,10681.04
2009-04-09,11087.99
2009-04-13,11115.71
2009-04-14,10892.29
2009-04-15,11028.44
2009-04-16,11199.38
2009-04-17,11255.38
2009-04-20,10773.65
2009-04-21,11003.13
2009-04-22,10918.4
2009-04-23,11026.49
2009-04-24,11211.74
2009-04-27,11098.5
2009-04-28,11068.53
2009-04-29,11307.61
2009-04-30,11296.31
2009-05-01,11457.85
2009-05-04,11846.27
2009-05-05,11801.25
2009-05-06,12006.59
2009-05-07,11848.11
2009-05-08,12133.65
2009-05-11,11872.77
2009-05-12,11860.9
2009-05-13,11541.84
2009-05-14,11661.88
2009-05-15,11528.93
2009-05-18,11879.41
2009-05-19,11859.22
2009-05-20,11798.73
2009-05-21,11600.52
2009-05-22,11583.11
2009-05-26,11887.75
2009-05-27,11661.88
2009-05-28,11841.48
2009-05-29,12002.52
2009-06-01,12414.77
2009-06-02,12439.59
2009-06-03,12269.17
2009-06-04,12410.27
2009-06-05,12379.24
2009-06-08,12366.86
2009-06-09,12410.15
2009-06-10,12366.71
2009-06-11,12442.15
2009-06-12,12459.57
2009-06-15,12163.03
2009-06-16,12008.56
2009-06-17,11991.75
2009-06-18,12092.48
2009-06-19,12129.96
2009-06-22,11758.79
2009-06-23,11785.83
2009-06-24,11862.44
2009-06-25,12116.3
2009-06-26,12098.12
2009-06-29,12208.22
2009-06-30,12104.45
2009-07-01,12258.15
2009-07-02,11901.43
2009-07-06,11932.38
2009-07-07,11697.31
2009-07-08,11677.42
2009-07-09,11718.29
2009-07-10,11671.42
2009-07-13,11962.04
2009-07-14,12025.44
2009-07-15,12381.39
2009-07-16,12487.87
2009-07-17,12482.88
2009-07-20,12625.18
2009-07-21,12670.63
2009-07-22,12664.3
2009-07-23,12959.37
2009-07-24,12998.25
2009-07-27,13037.25
2009-07-28,13003.35
2009-07-29,12943.54
2009-07-30,13097.56
2009-07-31,13106.73
2009-08-03,13408.79
2009-08-04,13449.02
2009-08-05,13410.02
2009-08-06,13334.92
2009-08-07,13513.61
2009-08-10,13469.02
2009-08-11,13297.96
2009-08-12,13450.89
2009-08-13,13543.7
2009-08-14,13428.58
2009-08-17,13102.26
2009-08-18,13234.59
2009-08-19,13325.91
2009-08-20,13471.17
2009-08-21,13721.73
2009-08-24,13714.87
2009-08-25,13747.78
2009-08-26,13749.16
2009-08-27,13787.66
2009-08-28,13760.08
2009-08-31,13648.62
2009-09-01,13444.78
2009-09-02,13400.41
2009-09-03,13514.32
2009-09-04,13691.35
2009-09-08,13811.84
